,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
3452,3I INFOTECH INC, 213 ," 66,781 ",Bachelor's, 111 ,
 , ,   ,   ,Master's, 102 ,
1761,NATSOFT CORPORATION, 212 ," 72,189 ",Master's, 106 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,High School, D ,
0555,UNIVERSITY OF COLORADO, 209 ," 81,042 ",Doctorate, 140 ,
 , ,   ,   ,Professional Degree, 32 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
9487,AMDOCS INC, 207 ," 100,963 ",Bachelor's, 134 ,
 , ,   ,   ,Master's, 73 ,
1673,INDIANA UNIV PURDUE UNIV INDIA, 206 ," 71,942 ",Doctorate, 133 ,
 , ,   ,   ,Master's, 38 ,
 , ,   ,   ,Professional Degree, 25 ,
 , ,   ,   ,Bachelor's, 10 ,
8857,ALCATEL LUCENT USA INC, 205 ," 119,331 ",Master's, 114 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
1197,ICAHN SCH OF MEDICINE AT MOUNT, 204 ," 80,294 ",Doctorate, 93 ,
 , ,   ,   ,Professional Degree, 67 ,
 , ,   ,   ,Master's, 34 ,
 , ,   ,   ,Bachelor's, 10 ,
0623,VEDICSOFT SOLUTIONS LLC, 202 ," 72,962 ",Master's, 120 ,
 , ,   ,   ,Bachelor's, 82 ,
5591,UNIV OF PITTSBURGH, 201 ," 56,443 ",Doctorate, 137 ,
 , ,   ,   ,Master's, 35 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
6650,CREDIT SUISSE SECURITIES USA L, 201 ," 130,204 ",Bachelor's, 100 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
1392,ECLINICALWORKS LLC, 201 ," 84,990 ",Master's, 169 ,
 , ,   ,   ,Bachelor's, 32 ,
2319,AKAMAI TECHNOLOGIES INC, 200 ," 115,868 ",Master's, 162 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
6960,PHOTON INFOTECH INC, 199 ," 85,996 ",Bachelor's, 143 ,
 , ,   ,   ,Master's, 56 ,
0183,ORACLE FINANCIAL SVCS SOFTWARE, 199 ," 94,646 ",Bachelor's, 144 ,
 , ,   ,   ,Master's, 55 ,
4813,THE UNIVERSITY OF IOWA, 198 ," 86,394 ",Professional Degree, 92 ,
 , ,   ,   ,Doctorate, 72 ,
 , ,   ,   ,Master's, 24 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
0376,THE PENNSYLVANIA STATE UNIVERS, 197 ," 75,205 ",Doctorate, 183 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Professional Degree, D ,
6973,YALE UNIVERSITY, 196 ," 83,363 ",Doctorate, 157 ,
 , ,   ,   ,Professional Degree, 25 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
1881,NISUM TECHNOLOGIES INC, 194 ," 113,437 ",Bachelor's, 113 ,
 , ,   ,   ,Master's, 81 ,
6803,DELL PRODUCTS LP, 193 ," 107,809 ",Master's, 125 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
3134,SYSTEM SOFT TECHNOLOGIES LLC, 193 ," 91,359 ",Master's, 137 ,
 , ,   ,   ,Bachelor's, 56 ,
7214,ADP TECHNOLOGY SERVICES INC, 192 ," 116,415 ",Master's, 97 ,
 , ,   ,   ,Bachelor's, 95 ,
9461,XAVIENT INFORMATION SYSTEMS IN, 192 ," 84,386 ",Master's, 102 ,
 , ,   ,   ,Bachelor's, 90 ,
6960,NATIONAL INSTITUTES OF HEALTH/, 191 ," 81,312 ",Doctorate, 174 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Master's, D ,
5086,GRANDISON MANAGEMENT INC, 190 ," 54,579 ",Bachelor's, H ,
 , ,   ,   ,Master's, D ,
2052,UNIVERSITY OF FLORIDA, 189 ," 107,165 ",Doctorate, 93 ,
 , ,   ,   ,Professional Degree, 78 ,
 , ,   ,   ,Master's, 18 ,
5986,THE OHIO STATE UNIV, 188 ," 78,237 ",Doctorate, 129 ,
 , ,   ,   ,Professional Degree, 32 ,
 , ,   ,   ,Master's, 22 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Some College Credits, D ,
7520,NETAPP INC, 186 ," 125,001 ",Master's, 120 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
6195,SERVICENOW INC, 185 ," 119,769 ",Master's, 130 ,
 , ,   ,   ,Bachelor's, 52 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
7513,UNIVERSITY OF MINNESOTA, 184 ," 63,913 ",Doctorate, 129 ,
 , ,   ,   ,Professional Degree, 28 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
6492,UNIV OF WISCONSIN MADISON, 184 ," 64,684 ",Doctorate, 138 ,
 , ,   ,   ,Master's, 21 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
7817,NORTHWESTERN UNIVERSITY, 184 ," 64,028 ",Doctorate, 127 ,
 , ,   ,   ,Master's, 38 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Professional Degree, D ,
8884,ERP ANALYSTS INC, 184 ," 74,651 ",Bachelor's, 92 ,
 , ,   ,   ,Master's, 92 ,
3580,HARVARD UNIVERSITY, 184 ," 69,002 ",Doctorate, 160 ,
 , ,   ,   ,Master's, 17 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Bachelor's, D ,
1278,DALLAS INDEPENDENT SCHOOL DIST, 183 ," 53,498 ",Bachelor's, 121 ,
 , ,   ,   ,Master's, 54 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
0005,SPRINT CORPORATION, 181 ," 96,212 ",Master's, 133 ,
 , ,   ,   ,Bachelor's, 48 ,
3611,WASHINGTON UNIV IN ST LOUIS, 181 ," 70,688 ",Doctorate, 117 ,
 , ,   ,   ,Professional Degree, 35 ,
 , ,   ,   ,Master's, 24 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
6470,CITIBANK NA, 181 ," 120,701 ",Master's, 117 ,
 , ,   ,   ,Bachelor's, 57 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
6614,FIRST TEK INC, 180 ," 68,774 ",Master's, 135 ,
 , ,   ,   ,Bachelor's, 45 ,
6493,UNIV OF CALIFORNIA SAN FRANCIS, 179 ," 76,697 ",Doctorate, 127 ,
 , ,   ,   ,Professional Degree, 25 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
9950,EPIC SYSTEMS CORPORATION, 179 ," 112,084 ",Master's, 98 ,
 , ,   ,   ,Bachelor's, 69 ,
 , ,   ,   ,Doctorate, 12 ,
4236,MEMORIAL SLOAN KETTERING CANCE, 179 ," 90,986 ",Doctorate, 70 ,
 , ,   ,   ,Master's, 46 ,
 , ,   ,   ,Professional Degree, 42 ,
 , ,   ,   ,Bachelor's, 21 ,
6847,MIRACLE SOFTWARE SYSTEMS INC, 177 ," 87,093 ",Master's, 97 ,
 , ,   ,   ,Bachelor's, 80 ,
4179,VALUEMOMENTUM INC, 177 ," 85,250 ",Bachelor's, 143 ,
 , ,   ,   ,Master's, 34 ,
7125,WESTERN DIGITAL TECHNOLOGIES I, 176 ," 116,612 ",Master's, 123 ,
 , ,   ,   ,Bachelor's, 31 ,
 , ,   ,   ,Doctorate, 22 ,
3258,PERFICIENT INC, 176 ," 105,670 ",Master's, 95 ,
 , ,   ,   ,Bachelor's, 81 ,
4398,BARCLAYS SERVICES CORP, 176 ," 126,152 ",Master's, 93 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
1560,AVCO CONSULTING INC, 175 ," 79,954 ",Master's, 145 ,
 , ,   ,   ,Bachelor's, 30 ,
2655,AT&T SERVICES INC, 173 ," 122,848 ",Master's, 102 ,
 , ,   ,   ,Bachelor's, 55 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
1636,UT HEALTH SCIENCE CENTER, 173 ," 57,182 ",Doctorate, 91 ,
 , ,   ,   ,Professional Degree, 61 ,
 , ,   ,   ,Master's, 17 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
3779,TWITTER INC, 173 ," 147,090 ",Master's, 108 ,
 , ,   ,   ,Bachelor's, 52 ,
 , ,   ,   ,Doctorate, 13 ,
2344,CAREMARK LLC, 172 ," 96,933 ",Bachelor's, 114 ,
 , ,   ,   ,Master's, 58 ,
8231,CADENCE DESIGN SYSTEMS INC, 170 ," 130,494 ",Master's, 116 ,
 , ,   ,   ,Bachelor's, 39 ,
 , ,   ,   ,Doctorate, 15 ,
6256,EMORY UNIVERSITY, 170 ," 83,026 ",Doctorate, 97 ,
 , ,   ,   ,Professional Degree, 50 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
2868,UT SOUTHWESTERN MEDICAL CENTER, 168 ," 71,362 ",Doctorate, 121 ,
 , ,   ,   ,Master's, 26 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
8826,GENPACT LLC, 167 ," 85,751 ",Master's, 88 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
3424,MANHATTAN ASSOCIATES INC, 166 ," 97,424 ",Bachelor's, 115 ,
 , ,   ,   ,Master's, 51 ,
0053,NESS USA INC, 166 ," 91,636 ",Bachelor's, 97 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,High School, D ,
2217,TERADATA OPERATIONS INC, 166 ," 111,613 ",Bachelor's, 85 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
5570,QUALCOMM ATHEROS INC, 165 ," 124,124 ",Master's, 116 ,
 , ,   ,   ,Bachelor's, 37 ,
 , ,   ,   ,Doctorate, 12 ,
5396,THE UNIV OF ALABAMA AT BIRMING, 165 ," 53,448 ",Professional Degree, 72 ,
 , ,   ,   ,Doctorate, 62 ,
 , ,   ,   ,Master's, 26 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
9768,DIVERSANT LLC, 165 ," 115,769 ",Bachelor's, 102 ,
 , ,   ,   ,Master's, 63 ,
4327,WIPRO LLC, 164 ," 74,387 ",Master's, 83 ,
 , ,   ,   ,Bachelor's, 78 ,
 , ,   ,   ,Associate Degree, D ,
 , ,   ,   ,Professional Degree, D ,
1546,HEALTH CAROUSEL LLC, 164 ," 52,075 ",Master's, 104 ,
 , ,   ,   ,Bachelor's, 60 ,
4235,BALTIMORE CITY PUBLIC SCHOOLS, 163 ," 85,942 ",Master's, 90 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
2661,SCHLUMBERGER TECHNOLOGY CORP, 162 ," 97,152 ",Master's, 103 ,
 , ,   ,   ,Bachelor's, 35 ,
 , ,   ,   ,Doctorate, 24 ,
3859,THE CURATORS OF THE UNIV OF MO, 161 ," 84,849 ",Doctorate, 91 ,
 , ,   ,   ,Professional Degree, 49 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
6476,EXLSERVICE.COM LLC, 160 ," 96,572 ",Bachelor's, 88 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
6833,CIBER INC, 159 ," 96,480 ",Bachelor's, 106 ,
 , ,   ,   ,Master's, 53 ,
6805,DELL MARKETING LP, 158 ," 98,505 ",Bachelor's, 92 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Associate Degree, D ,
9970,TEXAS INSTRUMENTS INCORPORATED, 157 ," 108,339 ",Master's, 124 ,
 , ,   ,   ,Bachelor's, 23 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
7139,THE UNIVERSITY OF CHICAGO, 157 ," 68,758 ",Doctorate, 106 ,
 , ,   ,   ,Master's, 30 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Professional Degree, D ,
6127,STAPLES INC, 157 ," 109,495 ",Master's, 92 ,
 , ,   ,   ,Bachelor's, 65 ,
3754,ITECH US INC, 155 ," 97,567 ",Master's, 106 ,
 , ,   ,   ,Bachelor's, 49 ,
3796,ASTIR IT SOLUTIONS INC, 155 ," 71,820 ",Master's, 87 ,
 , ,   ,   ,Bachelor's, 68 ,
1766,BRILLIO LLC, 155 ," 75,888 ",Bachelor's, 119 ,
 , ,   ,   ,Master's, 36 ,
2284,UNIV OF MASSACHUSETTS MEDICAL, 155 ," 63,567 ",Doctorate, 90 ,
 , ,   ,   ,Master's, 40 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
9838,INTONE NETWORKS INC, 154 ," 93,639 ",Master's, 121 ,
 , ,   ,   ,Bachelor's, 33 ,
2129,DUKE UNIV UNIV MED CTR & AFFIL, 153 ," 69,916 ",Doctorate, 122 ,
 , ,   ,   ,Master's, 14 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
2309,NEW YORK UNIV SCHOOL OF MEDICI, 153 ," 77,127 ",Doctorate, 88 ,
 , ,   ,   ,Master's, 35 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
6802,DELL USA LP, 152 ," 107,746 ",Master's, 87 ,
 , ,   ,   ,Bachelor's, 65 ,
9723,ITC INFOTECH USA INC, 152 ," 77,421 ",Bachelor's, 111 ,
 , ,   ,   ,Master's, 41 ,
6494,UNIVERSITY OF CALIFORNIA DAVIS, 150 ," 70,939 ",Doctorate, 120 ,
 , ,   ,   ,Master's, 16 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
5628,NAGARRO INC, 150 ," 79,146 ",Bachelor's, 107 ,
 , ,   ,   ,Master's, 43 ,
3594,MASSACHUSETTS INSTITUTE OF TEC, 150 ," 71,259 ",Doctorate, H ,
 , ,   ,   ,Master's, D ,
1537,UNIVERSITY OF WASHINGTON, 149 ," 86,068 ",Doctorate, 118 ,
 , ,   ,   ,Professional Degree, 27 ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3183,MEDTRONIC INC, 148 ," 102,007 ",Master's, 109 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
1796,UNIV OF VIRGINIA, 147 ," 70,925 ",Doctorate, 91 ,
 , ,   ,   ,Professional Degree, 24 ,
 , ,   ,   ,Master's, 22 ,
 , ,   ,   ,Bachelor's, 10 ,
3695,FISERV SOLUTIONS LLC, 146 ," 92,696 ",Bachelor's, 98 ,
 , ,   ,   ,Master's, 48 ,
6691,BLACKROCK FINANCIAL MANAGEMENT, 146 ," 104,317 ",Master's, 95 ,
 , ,   ,   ,Bachelor's, 49 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
5152,CITRIX SYSTEMS INC, 145 ," 122,234 ",Master's, 93 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
8573,ENGINEERING TECH ASSO INC, 145 ," 69,696 ",Master's, 84 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
1428,AIRBNB INC, 145 ," 161,063 ",Master's, 93 ,
 , ,   ,   ,Bachelor's, 40 ,
 , ,   ,   ,Doctorate, 12 ,
1556,LOGIC PLANET INC, 144 ," 75,468 ",Master's, 79 ,
 , ,   ,   ,Bachelor's, 65 ,
7020,HENRY FORD HEALTH SYSTEM, 143 ," 104,794 ",Professional Degree, 56 ,
 , ,   ,   ,Bachelor's, 43 ,
 , ,   ,   ,Master's, 33 ,
 , ,   ,   ,Doctorate, 11 ,
8315,PYRAMID TECHNOLOGY SOLUTIONS I, 143 ," 74,685 ",Bachelor's, 79 ,
 , ,   ,   ,Master's, 64 ,
0531,TEXAS A&M UNIVERSITY, 142 ," 64,888 ",Doctorate, 104 ,
 , ,   ,   ,Master's, 27 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
7394,FCA US LLC, 142 ," 95,006 ",Master's, 117 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
1086,RUTGERS THE STATE UNIV OF NJ, 142 ," 80,104 ",Doctorate, 120 ,
 , ,   ,   ,Master's, 10 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Bachelor's, D ,
2542,SAP LABS LLC, 141 ," 118,592 ",Master's, 75 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
6144,UNIVERSITY OF CALIFORNIA SAN D, 140 ," 72,479 ",Doctorate, 113 ,
 , ,   ,   ,Master's, 13 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
6143,UNIV OF CALIFORNIA LOS ANGELES, 140 ," 77,094 ",Doctorate, 96 ,
 , ,   ,   ,Master's, 25 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Professional Degree, D ,
7987,THE UNIVERSITY OF OKLAHOMA, 140 ," 83,607 ",Doctorate, 83 ,
 , ,   ,   ,Professional Degree, 41 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8017,FEDEX CORPORATE SERVICES INC, 140 ," 87,619 ",Master's, 112 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
5984,MICHIGAN STATE UNIVERSITY, 140 ," 72,636 ",Doctorate, 103 ,
 , ,   ,   ,Master's, 24 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
7983,GEN HOSP CORP D/B/A MASS GEN H, 140 ," 57,436 ",Doctorate, 106 ,
 , ,   ,   ,Master's, 18 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
0290,DELOITTE TRANSACTIONS & BUS AN, 139 ," 85,259 ",Master's, 115 ,
 , ,   ,   ,Bachelor's, 24 ,
5969,NTT DATA SERVICES LLC, 139 ," 97,666 ",Bachelor's, 91 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
2326,SRS CONSULTING INC, 138 ," 90,920 ",Bachelor's, 78 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
4614,FIS MANAGEMENT SERVICES LLC, 138 ," 100,069 ",Bachelor's, 76 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
7100,NATIONWIDE INSURANCE, 137 ," 91,035 ",Master's, 79 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
2821,GSS INFOTECH CT INC, 135 ," 72,234 ",Bachelor's, 75 ,
 , ,   ,   ,Master's, 60 ,
1653,ARICENT TECHNOLOGIES HOLDINGS, 134 ," 97,247 ",Bachelor's, 97 ,
 , ,   ,   ,Master's, 37 ,
2394,UNIV OF SOUTHERN CALIFORNIA, 134 ," 93,937 ",Doctorate, 85 ,
 , ,   ,   ,Master's, 26 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
3878,BAYLOR COLLEGE OF MEDICINE, 134 ," 74,369 ",Doctorate, 75 ,
 , ,   ,   ,Master's, 33 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
3498,ADS ALLIANCE DATA SYSTEMS INC, 133 ," 103,373 ",Master's, 75 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
0778,SAMSUNG RESEARCH AMERICA INC, 132 ," 133,124 ",Master's, 92 ,
 , ,   ,   ,Bachelor's, 28 ,
 , ,   ,   ,Doctorate, 12 ,
9296,RJT COMPUQUEST INC, 132 ," 69,895 ",Bachelor's, 78 ,
 , ,   ,   ,Master's, 54 ,
5998,MORGAN STANLEY & CO LLC, 132 ," 167,447 ",Master's, 65 ,
 , ,   ,   ,Bachelor's, 50 ,
 , ,   ,   ,Doctorate, 17 ,
0525,UNIVERSITY OF UTAH, 131 ," 77,093 ",Doctorate, 79 ,
 , ,   ,   ,Master's, 22 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
5717,HOWARD HUGHES MEDICAL INSTITUT, 131 ," 57,991 ",Doctorate, H ,
 , ,   ,   ,Master's, D ,
5579,COLLABORATE SOLUTIONS INC, 131 ," 73,980 ",Master's, 114 ,
 , ,   ,   ,Bachelor's, 17 ,
8235,UT BATTELLE LLC ORNL, 130 ," 82,863 ",Doctorate, 122 ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6789,GLOBALLOGIC INC, 128 ," 105,188 ",Bachelor's, 77 ,
 , ,   ,   ,Master's, 51 ,
5205,MICROEXCEL INC, 128 ," 89,261 ",Bachelor's, 69 ,
 , ,   ,   ,Master's, 59 ,
2614,THE BOSTON CONSULTING GROUP IN, 127 ," 142,706 ",Master's, 95 ,
 , ,   ,   ,Bachelor's, 22 ,
 , ,   ,   ,Doctorate, 10 ,
3155,YAHOO HOLDINGS INC, 126 ," 138,867 ",Master's, 95 ,
 , ,   ,   ,Bachelor's, 24 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Professional Degree, D ,
6067,FIDELITY INVESTMENTS, 126 ," 94,194 ",Bachelor's, 67 ,
 , ,   ,   ,Master's, 59 ,
3189,ETOUCH SYSTEMS CORPORATION, 125 ," 100,158 ",Bachelor's, 76 ,
 , ,   ,   ,Master's, 49 ,
6251,CIGNITI INC, 125 ," 74,852 ",Bachelor's, 73 ,
 , ,   ,   ,Master's, 52 ,
7598,GILEAD SCIENCES INC, 124 ," 117,473 ",Master's, 71 ,
 , ,   ,   ,Bachelor's, 26 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
7393,WELLS FARGO BANK NA, 124 ," 132,329 ",Master's, 61 ,
 , ,   ,   ,Bachelor's, 33 ,
 , ,   ,   ,Doctorate, 30 ,
5382,CREDIT SUISSE SERVICES USA LLC, 124 ," 102,343 ",Master's, 70 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
6242,UNIV OF ARKANSAS FOR MED SCIEN, 124 ," 117,835 ",Professional Degree, 88 ,
 , ,   ,   ,Doctorate, 20 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
6012,ST JUDE CHILDREN S RESEARCH HO, 124 ," 69,965 ",Doctorate, 91 ,
 , ,   ,   ,Master's, 20 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Bachelor's, D ,
0899,TARGET ENTERPRISE INC, 124 ," 117,657 ",Master's, 62 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
9123,UNIV OF NEBRASKA LINCOLN, 123 ," 70,462 ",Doctorate, 86 ,
 , ,   ,   ,Professional Degree, 19 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
0434,NEW YORK CITY DEPT OF EDUCATIO, 123 ," 70,506 ",Master's, 103 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Bachelor's, D ,
7970,BARCLAYS BANK DELAWARE, 122 ," 110,448 ",Master's, 74 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
6340,VENTOIS INC, 122 ," 77,761 ",Master's, 102 ,
 , ,   ,   ,Bachelor's, 20 ,
3776,DISCOVER PRODUCTS INC, 122 ," 95,736 ",Master's, 95 ,
 , ,   ,   ,Bachelor's, 16 ,
 , ,   ,   ,Doctorate, 11 ,
4441,CHILDREN S HOSPITAL CORPORATIO, 122 ," 72,434 ",Doctorate, 61 ,
 , ,   ,   ,Master's, 27 ,
 , ,   ,   ,Professional Degree, 24 ,
 , ,   ,   ,Bachelor's, 10 ,
9853,AUTODESK INC, 121 ," 119,120 ",Master's, 78 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
4423,PROFICIENT BUSINESS SYSTEMS IN, 121 ," 74,781 ",Bachelor's, 62 ,
 , ,   ,   ,Master's, 59 ,
4085,ALTAIR PRODUCTDESIGN INC, 121 ," 64,187 ",Master's, 95 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
7845,IBLESOFT INC, 121 ," 63,129 ",Master's, 62 ,
 , ,   ,   ,Bachelor's, 59 ,
0626,CVS PHARMACY INC, 121 ," 106,851 ",Master's, 63 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Some College Credits, D ,
0756,NC STATE UNIVERSITY, 120 ," 60,282 ",Doctorate, 95 ,
 , ,   ,   ,Professional Degree, 15 ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3964,FUSION PLUS SOLUTIONS INC, 120 ," 79,540 ",Master's, 98 ,
 , ,   ,   ,Bachelor's, 22 ,
2041,PURDUE UNIVERSITY, 120 ," 71,267 ",Doctorate, 107 ,
 , ,   ,   ,Master's, 10 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Bachelor's, D ,
1647,CYBERTHINK INC, 119 ," 86,452 ",Master's, 62 ,
 , ,   ,   ,Bachelor's, 57 ,
2308,NEW YORK UNIVERSITY, 119 ," 84,629 ",Doctorate, 91 ,
 , ,   ,   ,Master's, 16 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Bachelor's, D ,
7445,STATE STREET BANK & TRUST COMP, 119 ," 115,185 ",Master's, 78 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
4224,IOWA STATE UNIV OF SCIENCE & T, 118 ," 61,961 ",Doctorate, 107 ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
3469,CYMA SYSTEMS INC, 118 ," 78,464 ",Master's, 99 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Some College Credits, D ,
6696,ARIZONA STATE UNIVERSITY, 117 ," 66,120 ",Doctorate, 95 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
8852,SYNAPSIS INC, 117 ," 77,045 ",Master's, 85 ,
 , ,   ,   ,Bachelor's, 32 ,
7185,DIASPARK INC, 117 ," 65,947 ",Bachelor's, 84 ,
 , ,   ,   ,Master's, 33 ,
